Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Leber (C22);65 - 74;weiblich;1;278;313;287;333;348;346;379;421;359;407;439;416;405;439;406;455
Leber (C22);65 - 74;männlich;1;895;971;1.060;1.150;1.181;1.211;1.244;1.225;1.308;1.207;1.352;1.328;1.290;1.194;1.246;1.162
Leber (C22);75 und älter;weiblich;1;430;494;513;515;521;515;566;617;582;677;667;723;781;751;725;799
Leber (C22);75 und älter;männlich;1;624;595;649;792;823;972;985;1.027;1.118;1.106;1.331;1.409;1.408;1.381;1.429;1.387
Gallenblase und Gallenwege (C23-C24);0 - 44;weiblich;1;27;26;26;28;27;28;25;25;21;26;21;22;19;19;18;26
Gallenblase und Gallenwege (C23-C24);0 - 44;männlich;1;38;36;41;39;45;30;35;28;32;33;27;38;24;24;30;22
Gallenblase und Gallenwege (C23-C24);45 - 54;weiblich;1;89;95;92;103;102;105;107;109;91;115;110;106;86;89;79;94
Gallenblase und Gallenwege (C23-C24);45 - 54;männlich;1;100;101;117;110;123;106;112;111;120;124;102;121;116;97;95;106
Gallenblase und Gallenwege (C23-C24);55 - 64;weiblich;1;244;276;203;234;243;248;249;279;260;278;280;256;240;243;227;251
Gallenblase und Gallenwege (C23-C24);55 - 64;männlich;1;251;247;297;294;302;267;235;251;255;300;244;298;310;236;255;324
Gallenblase und Gallenwege (C23-C24);65 - 74;weiblich;1;442;464;472;516;492;546;487;531;455;525;484;415;405;408;345;383
Gallenblase und Gallenwege (C23-C24);65 - 74;männlich;1;415;462;534;481;538;502;481;545;482;552;463;511;465;414;411;411
Gallenblase und Gallenwege (C23-C24);75 und älter;weiblich;1;878;797;939;842;884;902;852;867;854;900;901;934;878;906;756;745
Gallenblase und Gallenwege (C23-C24);75 und älter;männlich;1;375;361;483;439;525;449;515;614;539;624;626;657;664;634;654;646
Bauchspeicheldrüse (C25);0 - 44;weiblich;1;87;89;92;89;79;87;92;91;87;95;89;102;94;82;85;102
Bauchspeicheldrüse (C25);0 - 44;männlich;1;101;99;106;113;105;97;102;108;95;102;103;102;93;84;87;82
